lec_exam,location,meeting_days,begin_time,end_time
LEC,FUR 208,MWF,10:30AM,11:20AM
EXAM,FUR 208,W,08:30AM,11:00AM
LEC,FUR 209,TR,10:00AM,11:15AM
EXAM,FUR 209,T,08:30AM,11:00AM
LEC,FUR 106,MWF,12:30PM,01:20PM
EXAM,FUR 106,M,12:00PM,02:30PM
LEC,FUR 121,W,02:30PM,05:00PM
EXAM,FUR 121,T,03:30PM,06:00PM
LEC,FUR 209,MWF,12:30PM,01:20PM
EXAM,FUR 209,M,12:00PM,02:30PM
SEM,FUR 117,TR,01:00PM,02:15PM
EXAM,FUR 117,T,12:00PM,02:30PM
SEM,FUR 119,T,02:30PM,05:00PM
EXAM,FUR 119,R,03:30PM,06:00PM
LEC,JHN 101,MWF,08:30AM,09:20AM
EXAM,JHN 101,R,08:30AM,11:00AM
LEC,JHN 107,MWF,09:30AM,10:20AM
EXAM,JHN 107,M,08:30AM,11:00AM
LEC,JHN 105,TR,01:00PM,02:15PM
EXAM,JHN 105,T,12:00PM,02:30PM
LEC,JHN 105,TR,11:30AM,12:45PM
EXAM,JHN 105,F,12:00PM,02:30PM
LEC,JHN 105,TR,08:30AM,09:45AM
EXAM,JHN 105,F,08:30AM,11:00AM
LEC,JHN 101,MWF,08:30AM,09:20AM
EXAM,JHN 101,R,08:30AM,11:00AM
LEC,JHN 105,MWF,11:30AM,12:20PM
EXAM,JHN 105,R,12:00PM,02:30PM
LEC,JHN 107,TR,11:30AM,12:45PM
EXAM,JHN 107,F,12:00PM,02:30PM
LEC,JHN 107,TR,10:00AM,11:15AM
EXAM,JHN 107,T,08:30AM,11:00AM
LEC,JHN 107,TR,08:30AM,09:45AM
EXAM,JHN 107,F,08:30AM,11:00AM
LEC,JHN 107,MWF,10:30AM,11:20AM
EXAM,JHN 107,W,08:30AM,11:00AM
SEM,JHN 106G,W,02:30PM,05:00PM
EXAM,JHN 106G,T,03:30PM,06:00PM
SEM,JHN 106G,MR,02:30PM,03:45PM
EXAM,JHN 106G,M,03:30PM,06:00PM
LEC,FUR 230,MTRF,08:30AM,09:20AM
EXAM,FUR 230,R,08:30AM,11:00AM
LEC,FUR 230,MTRF,10:30AM,11:20AM
EXAM,FUR 230,W,08:30AM,11:00AM
LEC,FUR 128,MTRF,11:30AM,12:20PM
EXAM,FUR 128,R,12:00PM,02:30PM
LEC,FUR 229,MTRF,01:30PM,02:20PM
EXAM,FUR 229,W,12:00PM,02:30PM
LEC,FUR 229,MTRF,08:30AM,09:20AM
EXAM,FUR 229,R,08:30AM,11:00AM
LEC,FUR 229,MTRF,09:30AM,10:20AM
EXAM,FUR 229,M,08:30AM,11:00AM
LEC,FUR 229,MTRF,10:30AM,11:20AM
EXAM,FUR 229,W,08:30AM,11:00AM
LEC,FUR 227,MTRF,10:30AM,11:20AM
EXAM,FUR 227,W,08:30AM,11:00AM
LEC,FUR 227,MTRF,11:30AM,12:20PM
EXAM,FUR 227,R,12:00PM,02:30PM
LEC,JHN 201,MTRF,11:30AM,12:20PM
EXAM,JHN 201,R,12:00PM,02:30PM
LEC,FUR 227,MWF,08:30AM,09:20AM
EXAM,FUR 227,R,08:30AM,11:00AM
LEC,FUR 227,MWF,09:30AM,10:20AM
EXAM,FUR 227,M,08:30AM,11:00AM
LEC,FUR 109,MWF,12:30PM,01:20PM
EXAM,FUR 109,M,12:00PM,02:30PM
LEC,RLY 107,MWF,09:30AM,10:20AM
EXAM,RLY 107,M,08:30AM,11:00AM
LEC,PYR 231,MWF,10:30AM,11:20AM
EXAM,PYR 231,W,08:30AM,11:00AM
LEC,FUR 229,MWF,11:30AM,12:20PM
EXAM,FUR 229,R,12:00PM,02:30PM
,,,,
LEC,FUR 230,MWF,12:30PM,01:20PM
EXAM,FUR 230,M,12:00PM,02:30PM
,,,,
LEC,FUR 229,MWF,12:30PM,01:20PM
EXAM,FUR 229,M,12:00PM,02:30PM
LEC,FUR 227,MWF,12:30PM,01:20PM
EXAM,FUR 227,M,12:00PM,02:30PM
LEC,FUR 201,MWF,09:30AM,10:20AM
EXAM,FUR 201,M,08:30AM,11:00AM
LEC,FUR 201,MWF,10:30AM,11:20AM
EXAM,FUR 201,W,08:30AM,11:00AM
LEC,FUR 119,MWF,11:30AM,12:20PM
EXAM,FUR 119,R,12:00PM,02:30PM
LEC,FUR 229,TR,11:30AM,12:45PM
ADD,FUR 229,T,02:30PM,04:20PM
EXAM,FUR 229,F,12:00PM,02:30PM
LEC,FUR 227,MWF,01:30PM,02:20PM
EXAM,FUR 227,W,12:00PM,02:30PM
LEC,FUR 117,MWF,10:30AM,11:20AM
EXAM,FUR 117,W,08:30AM,11:00AM
LEC,FUR 227,TR,01:00PM,02:15PM
EXAM,FUR 227,T,12:00PM,02:30PM
LEC,RNK 151,TR,10:00AM,11:15AM
LAB,RNK 151,T,02:30PM,05:20PM
EXAM,RNK 151,T,08:30AM,11:00AM
LEC,RNK 151,TR,11:30AM,12:45PM
LAB,RNK 151,W,02:30PM,05:20PM
EXAM,RNK 151,F,12:00PM,02:30PM
LEC,SHI COM,TR,01:00PM,02:15PM
LAB,SHI COM,R,02:30PM,05:20PM
EXAM,SHI COM,T,12:00PM,02:30PM
SEM,PYR 101,MF,11:30AM,12:20PM
EXAM,PYR 101,R,12:00PM,02:30PM
ACT, ,,,
LEC,TPH MTR,MWF,09:30AM,10:20AM
EXAM,TPH MTR,M,08:30AM,11:00AM
LEC,TPH MTR,MWF,10:30AM,11:20AM
EXAM,TPH MTR,W,08:30AM,11:00AM
LEC,TPH MTR,MWF,11:30AM,12:20PM
EXAM,TPH MTR,R,12:00PM,02:30PM
LEC,TPH MTR,TR,11:30AM,12:45PM
EXAM,TPH MTR,F,12:00PM,02:30PM
LEC,TPH STR,TR,01:00PM,02:15PM
EXAM,TPH STR,T,12:00PM,02:30PM
LEC,TPH CST,TR,11:30AM,12:45PM
LAB,TPH CST,,,
EXAM,TPH CST,F,12:00PM,02:30PM
